Date_reported,Country_code,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-04,AU,Australia,0,0,0,0
2020-01-05,AU,Australia,0,0,0,0
2020-01-06,AU,Australia,0,0,0,0
2020-01-07,AU,Australia,0,0,0,0
2020-01-08,AU,Australia,0,0,0,0
2020-01-09,AU,Australia,0,0,0,0
2020-01-10,AU,Australia,0,0,0,0
2020-01-11,AU,Australia,0,0,0,0
2020-01-12,AU,Australia,0,0,0,0
2020-01-13,AU,Australia,0,0,0,0
2020-01-14,AU,Australia,0,0,0,0
2020-01-15,AU,Australia,0,0,0,0
2020-01-16,AU,Australia,0,0,0,0
2020-01-17,AU,Australia,0,0,0,0
2020-01-18,AU,Australia,0,0,0,0
2020-01-19,AU,Australia,0,0,0,0
2020-01-20,AU,Australia,0,0,0,0
2020-01-21,AU,Australia,0,0,0,0
2020-01-22,AU,Australia,0,0,0,0
2020-01-23,AU,Australia,0,0,0,0
2020-01-24,AU,Australia,0,0,0,0
2020-01-25,AU,Australia,1,1,0,0
2020-01-26,AU,Australia,3,4,0,0
2020-01-27,AU,Australia,0,4,0,0
2020-01-28,AU,Australia,1,5,0,0
2020-01-29,AU,Australia,0,5,0,0
2020-01-30,AU,Australia,2,7,0,0
2020-01-31,AU,Australia,2,9,0,0
2020-02-01,AU,Australia,0,9,0,0
2020-02-02,AU,Australia,3,12,0,0
2020-02-03,AU,Australia,0,12,0,0
2020-02-04,AU,Australia,0,12,0,0
2020-02-05,AU,Australia,1,13,0,0
2020-02-06,AU,Australia,1,14,0,0
2020-02-07,AU,Australia,1,15,0,0
2020-02-08,AU,Australia,0,15,0,0
2020-02-09,AU,Australia,0,15,0,0
2020-02-10,AU,Australia,0,15,0,0
2020-02-11,AU,Australia,0,15,0,0
2020-02-12,AU,Australia,0,15,0,0
2020-02-13,AU,Australia,0,15,0,0
2020-02-14,AU,Australia,0,15,0,0
2020-02-15,AU,Australia,0,15,0,0
2020-02-16,AU,Australia,0,15,0,0
2020-02-17,AU,Australia,0,15,0,0
2020-02-18,AU,Australia,0,15,0,0
2020-02-19,AU,Australia,0,15,0,0
2020-02-20,AU,Australia,0,15,0,0
2020-02-21,AU,Australia,0,15,0,0
2020-02-22,AU,Australia,6,21,0,0
2020-02-23,AU,Australia,1,22,0,0
2020-02-24,AU,Australia,0,22,0,0
2020-02-25,AU,Australia,0,22,0,0
2020-02-26,AU,Australia,1,23,0,0
2020-02-27,AU,Australia,0,23,0,0
2020-02-28,AU,Australia,0,23,0,0
2020-02-29,AU,Australia,2,25,0,0
2020-03-01,AU,Australia,0,25,0,0
2020-03-02,AU,Australia,4,29,1,1
2020-03-03,AU,Australia,0,29,0,1
2020-03-04,AU,Australia,4,33,1,2
2020-03-05,AU,Australia,10,43,0,2
2020-03-06,AU,Australia,14,57,0,2
2020-03-07,AU,Australia,6,63,1,3
2020-03-08,AU,Australia,7,70,1,4
2020-03-09,AU,Australia,7,77,0,4
2020-03-10,AU,Australia,15,92,0,4
2020-03-11,AU,Australia,8,100,0,4
2020-03-12,AU,Australia,22,122,0,4
2020-03-13,AU,Australia,18,140,0,4
2020-03-14,AU,Australia,57,197,2,6
2020-03-15,AU,Australia,52,249,1,7
2020-03-16,AU,Australia,49,298,0,7
2020-03-17,AU,Australia,38,336,0,7
2020-03-18,AU,Australia,78,414,1,8
2020-03-19,AU,Australia,151,565,0,8
2020-03-20,AU,Australia,126,691,1,9
2020-03-21,AU,Australia,182,873,0,9
2020-03-22,AU,Australia,208,1081,0,9
2020-03-23,AU,Australia,315,1396,0,9
2020-03-24,AU,Australia,313,1709,0,9
2020-03-25,AU,Australia,543,2252,1,10
2020-03-26,AU,Australia,171,2423,1,11
2020-03-27,AU,Australia,562,2985,4,15
2020-03-28,AU,Australia,393,3378,1,16
2020-03-29,AU,Australia,431,3809,0,16
2020-03-30,AU,Australia,284,4093,3,19
2020-03-31,AU,Australia,266,4359,2,21
2020-04-01,AU,Australia,348,4707,1,22
2020-04-02,AU,Australia,269,4976,2,24
2020-04-03,AU,Australia,248,5224,4,28
2020-04-04,AU,Australia,230,5454,5,33
2020-04-05,AU,Australia,181,5635,3,36
2020-04-06,AU,Australia,109,5744,5,41
2020-04-07,AU,Australia,100,5844,8,49
2020-04-08,AU,Australia,112,5956,2,51
2020-04-09,AU,Australia,96,6052,2,53
2020-04-10,AU,Australia,100,6152,2,55
2020-04-11,AU,Australia,86,6238,3,58
2020-04-12,AU,Australia,51,6289,3,61
2020-04-13,AU,Australia,33,6322,2,63
2020-04-14,AU,Australia,44,6366,0,63
2020-04-15,AU,Australia,50,6416,1,64
2020-04-16,AU,Australia,42,6458,2,66
2020-04-17,AU,Australia,10,6468,1,67
2020-04-18,AU,Australia,65,6533,5,72
2020-04-19,AU,Australia,53,6586,1,73
2020-04-20,AU,Australia,26,6612,1,74
2020-04-21,AU,Australia,13,6625,1,75
2020-04-22,AU,Australia,22,6647,2,77
2020-04-23,AU,Australia,7,6654,1,78
2020-04-24,AU,Australia,13,6667,2,80
2020-04-25,AU,Australia,20,6687,3,83
2020-04-26,AU,Australia,16,6703,2,85
2020-04-27,AU,Australia,10,6713,1,86
2020-04-28,AU,Australia,12,6725,3,89
2020-04-29,AU,Australia,13,6738,5,94
2020-04-30,AU,Australia,8,6746,1,95
2020-05-01,AU,Australia,16,6762,3,98
2020-05-02,AU,Australia,5,6767,0,98
2020-05-03,AU,Australia,16,6783,1,99
2020-05-04,AU,Australia,18,6801,0,99
2020-05-05,AU,Australia,24,6825,1,100
2020-05-06,AU,Australia,24,6849,1,101
2020-05-07,AU,Australia,26,6875,0,101
2020-05-08,AU,Australia,21,6896,0,101
2020-05-09,AU,Australia,18,6914,0,101
2020-05-10,AU,Australia,15,6929,0,101
2020-05-11,AU,Australia,12,6941,0,101
2020-05-12,AU,Australia,7,6948,1,102
2020-05-13,AU,Australia,16,6964,1,103
2020-05-14,AU,Australia,11,6975,0,103
2020-05-15,AU,Australia,14,6989,0,103
2020-05-16,AU,Australia,30,7019,0,103
2020-05-17,AU,Australia,17,7036,0,103
2020-05-18,AU,Australia,9,7045,1,104
2020-05-19,AU,Australia,15,7060,0,104
2020-05-20,AU,Australia,8,7068,1,105
2020-05-21,AU,Australia,11,7079,0,105
2020-05-22,AU,Australia,2,7081,1,106
2020-05-23,AU,Australia,14,7095,1,107
2020-05-24,AU,Australia,11,7106,0,107
2020-05-25,AU,Australia,3,7109,0,107
2020-05-26,AU,Australia,9,7118,0,107
2020-05-27,AU,Australia,15,7133,0,107
2020-05-28,AU,Australia,6,7139,0,107
2020-05-29,AU,Australia,11,7150,0,107
2020-05-30,AU,Australia,23,7173,0,107
2020-05-31,AU,Australia,12,7185,0,107
2020-06-01,AU,Australia,10,7195,0,107
2020-06-02,AU,Australia,9,7204,0,107
2020-06-03,AU,Australia,17,7221,0,107
2020-06-04,AU,Australia,8,7229,0,107
2020-06-05,AU,Australia,11,7240,0,107
2020-06-06,AU,Australia,11,7251,0,107
2020-06-07,AU,Australia,4,7255,0,107
2020-06-08,AU,Australia,5,7260,0,107
2020-06-09,AU,Australia,5,7265,0,107
2020-06-10,AU,Australia,2,7267,0,107
2020-06-11,AU,Australia,0,7267,0,107
2020-06-12,AU,Australia,18,7285,0,107
2020-06-13,AU,Australia,5,7290,0,107
2020-06-14,AU,Australia,12,7302,0,107
2020-06-15,AU,Australia,18,7320,0,107
2020-06-16,AU,Australia,15,7335,0,107
2020-06-17,AU,Australia,12,7347,0,107
2020-06-18,AU,Australia,23,7370,0,107
2020-06-19,AU,Australia,21,7391,0,107
2020-06-20,AU,Australia,18,7409,0,107
2020-06-21,AU,Australia,27,7436,0,107
2020-06-22,AU,Australia,25,7461,0,107
2020-06-23,AU,Australia,13,7474,0,107
2020-06-24,AU,Australia,18,7492,0,107
2020-06-25,AU,Australia,29,7521,1,108
2020-06-26,AU,Australia,37,7558,0,108
2020-06-27,AU,Australia,37,7595,0,108
2020-06-28,AU,Australia,46,7641,0,108
2020-06-29,AU,Australia,45,7686,0,108
2020-06-30,AU,Australia,81,7767,0,108
2020-07-01,AU,Australia,67,7834,0,108
2020-07-02,AU,Australia,86,7920,0,108
2020-07-03,AU,Australia,81,8001,1,109
2020-07-04,AU,Australia,254,8255,0,109
2020-07-05,AU,Australia,107,8362,0,109
2020-07-06,AU,Australia,87,8449,1,110
2020-07-07,AU,Australia,137,8586,1,111
2020-07-08,AU,Australia,169,8755,0,111
2020-07-09,AU,Australia,131,8886,0,111
2020-07-10,AU,Australia,173,9059,0,111
2020-07-11,AU,Australia,300,9359,1,112
2020-07-12,AU,Australia,194,9553,1,113
2020-07-13,AU,Australia,244,9797,0,113
2020-07-14,AU,Australia,183,9980,0,113
2020-07-15,AU,Australia,271,10251,3,116
2020-07-16,AU,Australia,244,10495,4,120
2020-07-17,AU,Australia,315,10810,2,122
2020-07-18,AU,Australia,425,11235,4,126
2020-07-19,AU,Australia,206,11441,3,129
2020-07-20,AU,Australia,361,11802,3,132
2020-07-21,AU,Australia,267,12069,4,136
2020-07-22,AU,Australia,359,12428,4,140
2020-07-23,AU,Australia,468,12896,4,144
2020-07-24,AU,Australia,410,13306,9,153
2020-07-25,AU,Australia,289,13595,8,161
2020-07-26,AU,Australia,355,13950,13,174
2020-07-27,AU,Australia,453,14403,6,180
2020-07-28,AU,Australia,532,14935,15,195
2020-07-29,AU,Australia,369,15304,13,208
2020-07-30,AU,Australia,278,15582,18,226
2020-07-31,AU,Australia,721,16303,13,239
2020-08-01,AU,Australia,602,16905,16,255
2020-08-02,AU,Australia,377,17282,14,269
2020-08-03,AU,Australia,641,17923,16,285
2020-08-04,AU,Australia,395,18318,11,296
2020-08-05,AU,Australia,411,18729,11,307
2020-08-06,AU,Australia,715,19444,17,324
2020-08-07,AU,Australia,418,19862,12,336
2020-08-08,AU,Australia,410,20272,18,354
2020-08-09,AU,Australia,426,20698,21,375
2020-08-10,AU,Australia,386,21084,21,396
2020-08-11,AU,Australia,313,21397,17,413
2020-08-12,AU,Australia,316,21713,28,441
2020-08-13,AU,Australia,414,22127,17,458
2020-08-14,AU,Australia,231,22358,20,478
2020-08-15,AU,Australia,385,22743,11,489
2020-08-16,AU,Australia,292,23035,24,513
2020-08-17,AU,Australia,253,23288,27,540
2020-08-18,AU,Australia,271,23559,17,557
2020-08-19,AU,Australia,214,23773,15,572
2020-08-20,AU,Australia,220,23993,9,581
2020-08-21,AU,Australia,243,24236,13,594
2020-08-22,AU,Australia,171,24407,17,611
2020-08-23,AU,Australia,195,24602,16,627
2020-08-24,AU,Australia,210,24812,18,645
2020-08-25,AU,Australia,104,24916,15,660
2020-08-26,AU,Australia,137,25053,15,675
2020-08-27,AU,Australia,152,25205,11,686
2020-08-28,AU,Australia,117,25322,10,696
2020-08-29,AU,Australia,126,25448,15,711
2020-08-30,AU,Australia,99,25547,13,724
2020-08-31,AU,Australia,123,25670,9,733
2020-09-01,AU,Australia,76,25746,7,740
2020-09-02,AU,Australia,73,25819,4,744
2020-09-03,AU,Australia,104,25923,9,753
2020-09-04,AU,Australia,126,26049,8,761
2020-09-05,AU,Australia,87,26136,10,771
2020-09-06,AU,Australia,71,26207,11,782
2020-09-07,AU,Australia,72,26279,8,790
2020-09-08,AU,Australia,43,26322,5,795
2020-09-09,AU,Australia,52,26374,9,804
2020-09-10,AU,Australia,91,26465,7,811
2020-09-11,AU,Australia,48,26513,9,820
2020-09-12,AU,Australia,52,26565,4,824
2020-09-13,AU,Australia,42,26607,4,828
2020-09-14,AU,Australia,44,26651,6,834
2020-09-15,AU,Australia,41,26692,3,837
2020-09-16,AU,Australia,46,26738,5,842
2020-09-17,AU,Australia,41,26779,3,845
2020-09-18,AU,Australia,34,26813,6,851
2020-09-19,AU,Australia,48,26861,10,861
2020-09-20,AU,Australia,24,26885,3,864
2020-09-21,AU,Australia,13,26898,4,868
2020-09-22,AU,Australia,14,26912,4,872
2020-09-23,AU,Australia,30,26942,4,876
2020-09-24,AU,Australia,31,26973,3,879
2020-09-25,AU,Australia,10,26983,6,885
2020-09-26,AU,Australia,17,27000,1,886
2020-09-27,AU,Australia,16,27016,1,887
2020-09-28,AU,Australia,24,27040,3,890
2020-09-29,AU,Australia,4,27044,5,895
2020-09-30,AU,Australia,19,27063,3,898
2020-10-01,AU,Australia,15,27078,2,900
2020-10-02,AU,Australia,18,27096,4,904
2020-10-03,AU,Australia,17,27113,1,905
2020-10-04,AU,Australia,8,27121,1,906
2020-10-05,AU,Australia,15,27136,1,907
2020-10-06,AU,Australia,13,27149,0,907
2020-10-07,AU,Australia,25,27174,1,908
2020-10-08,AU,Australia,8,27182,1,909
2020-10-09,AU,Australia,24,27206,1,910
2020-10-10,AU,Australia,23,27229,0,910
2020-10-11,AU,Australia,15,27244,1,911
2020-10-12,AU,Australia,20,27264,0,911
2020-10-13,AU,Australia,22,27286,0,911
2020-10-14,AU,Australia,31,27317,1,912
2020-10-15,AU,Australia,24,27341,0,912
2020-10-16,AU,Australia,21,27362,0,912
2020-10-17,AU,Australia,9,27371,0,912
2020-10-18,AU,Australia,12,27383,0,912
2020-10-19,AU,Australia,7,27390,1,913
2020-10-20,AU,Australia,9,27399,0,913
2020-10-21,AU,Australia,31,27430,0,913
2020-10-22,AU,Australia,14,27444,0,913
2020-10-23,AU,Australia,22,27466,0,913
2020-10-24,AU,Australia,18,27484,1,914
2020-10-25,AU,Australia,15,27499,0,914
2020-10-26,AU,Australia,21,27520,0,914
2020-10-27,AU,Australia,7,27527,0,914
2020-10-28,AU,Australia,14,27541,0,914
2020-10-29,AU,Australia,13,27554,0,914
2020-10-30,AU,Australia,15,27569,0,914
2020-10-31,AU,Australia,13,27582,0,914
2020-11-01,AU,Australia,8,27590,0,914
2020-11-02,AU,Australia,5,27595,0,914
2020-11-03,AU,Australia,7,27602,0,914
2020-11-04,AU,Australia,8,27610,0,914
2020-11-05,AU,Australia,12,27622,0,914
2020-11-06,AU,Australia,11,27633,0,914
2020-11-07,AU,Australia,12,27645,0,914
2020-11-08,AU,Australia,7,27652,0,914
2020-11-09,AU,Australia,6,27658,3,917
2020-11-10,AU,Australia,10,27668,0,917
2020-11-11,AU,Australia,10,27678,0,917
2020-11-12,AU,Australia,8,27686,0,917
2020-11-13,AU,Australia,12,27698,0,917
2020-11-14,AU,Australia,5,27703,0,917
2020-11-15,AU,Australia,8,27711,0,917
2020-11-16,AU,Australia,14,27725,0,917
2020-11-17,AU,Australia,25,27750,0,917
2020-11-18,AU,Australia,6,27756,0,917
2020-11-19,AU,Australia,21,27777,0,917
2020-11-20,AU,Australia,7,27784,0,917
2020-11-21,AU,Australia,5,27789,0,917
2020-11-22,AU,Australia,18,27807,0,917
2020-11-23,AU,Australia,14,27821,0,917
2020-11-24,AU,Australia,14,27835,1,918
2020-11-25,AU,Australia,13,27848,0,918
2020-11-26,AU,Australia,6,27854,0,918
2020-11-27,AU,Australia,13,27867,0,918
2020-11-28,AU,Australia,7,27874,0,918
2020-11-29,AU,Australia,11,27885,0,918
2020-11-30,AU,Australia,8,27893,1,919
2020-12-01,AU,Australia,11,27904,0,919
2020-12-02,AU,Australia,8,27912,0,919
2020-12-03,AU,Australia,11,27923,0,919
2020-12-04,AU,Australia,16,27939,0,919
2020-12-05,AU,Australia,10,27949,0,919
2020-12-06,AU,Australia,7,27956,0,919
2020-12-07,AU,Australia,9,27965,0,919
2020-12-08,AU,Australia,7,27972,0,919
2020-12-09,AU,Australia,15,27987,0,919
2020-12-10,AU,Australia,6,27993,0,919
2020-12-11,AU,Australia,7,28000,0,919
2020-12-12,AU,Australia,12,28012,0,919
2020-12-13,AU,Australia,13,28025,0,919
2020-12-14,AU,Australia,6,28031,0,919
2020-12-15,AU,Australia,8,28039,0,919
2020-12-16,AU,Australia,8,28047,0,919
2020-12-17,AU,Australia,12,28059,0,919
2020-12-18,AU,Australia,13,28072,0,919
2020-12-19,AU,Australia,22,28094,0,919
2020-12-20,AU,Australia,34,28128,0,919
2020-12-21,AU,Australia,43,28171,0,919
2020-12-22,AU,Australia,27,28198,1,920
2020-12-23,AU,Australia,21,28219,0,920
2020-12-24,AU,Australia,19,28238,0,920
2020-12-25,AU,Australia,24,28262,0,920
2020-12-26,AU,Australia,0,28262,0,920
2020-12-27,AU,Australia,34,28296,0,920
2020-12-28,AU,Australia,16,28312,0,920
2020-12-29,AU,Australia,25,28337,0,920
2020-12-30,AU,Australia,13,28350,0,920
2020-12-31,AU,Australia,31,28381,0,920
2021-01-01,AU,Australia,46,28427,0,920
2021-01-02,AU,Australia,35,28462,0,920
2021-01-03,AU,Australia,21,28483,2,922
2021-01-04,AU,Australia,21,28504,0,922
2021-01-05,AU,Australia,15,28519,0,922
2021-01-06,AU,Australia,17,28536,0,922
2021-01-07,AU,Australia,11,28547,0,922
2021-01-08,AU,Australia,24,28571,0,922
2021-01-09,AU,Australia,11,28582,0,922
2021-01-10,AU,Australia,13,28595,0,922
2021-01-11,AU,Australia,19,28614,0,922
2021-01-12,AU,Australia,20,28634,0,922
2021-01-13,AU,Australia,16,28650,1,923
2021-01-14,AU,Australia,8,28658,0,923
2021-01-15,AU,Australia,11,28669,0,923
2021-01-16,AU,Australia,20,28689,0,923
2021-01-17,AU,Australia,19,28708,0,923
2021-01-18,AU,Australia,13,28721,0,923
2021-01-19,AU,Australia,9,28730,0,923
2021-01-20,AU,Australia,10,28740,0,923
2021-01-21,AU,Australia,10,28750,0,923
2021-01-22,AU,Australia,5,28755,0,923
2021-01-23,AU,Australia,6,28761,0,923
2021-01-24,AU,Australia,5,28766,0,923
2021-01-25,AU,Australia,11,28777,0,923
2021-01-26,AU,Australia,3,28780,0,923
2021-01-27,AU,Australia,6,28786,0,923
2021-01-28,AU,Australia,8,28794,0,923
2021-01-29,AU,Australia,6,28800,0,923
2021-01-30,AU,Australia,6,28806,0,923
2021-01-31,AU,Australia,5,28811,0,923
2021-02-01,AU,Australia,7,28818,0,923
2021-02-02,AU,Australia,6,28824,0,923
2021-02-03,AU,Australia,5,28829,0,923
2021-02-04,AU,Australia,9,28838,0,923
2021-02-05,AU,Australia,4,28842,0,923
2021-02-06,AU,Australia,6,28848,0,923
2021-02-07,AU,Australia,2,28850,0,923
2021-02-08,AU,Australia,7,28857,0,923
2021-02-09,AU,Australia,3,28860,0,923
2021-02-10,AU,Australia,11,28871,0,923
2021-02-11,AU,Australia,8,28879,0,923
2021-02-12,AU,Australia,7,28886,0,923
2021-02-13,AU,Australia,6,28892,0,923
2021-02-14,AU,Australia,6,28898,0,923
2021-02-15,AU,Australia,2,28900,0,923
2021-02-16,AU,Australia,5,28905,0,923
2021-02-17,AU,Australia,6,28911,0,923
2021-02-18,AU,Australia,1,28912,0,923
2021-02-19,AU,Australia,6,28918,0,923
2021-02-20,AU,Australia,2,28920,1,924
2021-02-21,AU,Australia,6,28926,0,924
2021-02-22,AU,Australia,4,28930,0,924
2021-02-23,AU,Australia,7,28937,0,924
2021-02-24,AU,Australia,2,28939,0,924
2021-02-25,AU,Australia,8,28947,0,924
2021-02-26,AU,Australia,11,28958,0,924
2021-02-27,AU,Australia,7,28965,0,924
2021-02-28,AU,Australia,5,28970,0,924
2021-03-01,AU,Australia,8,28978,0,924
2021-03-02,AU,Australia,8,28986,0,924
2021-03-03,AU,Australia,10,28996,0,924
2021-03-04,AU,Australia,6,29002,0,924
2021-03-05,AU,Australia,18,29020,0,924
2021-03-06,AU,Australia,10,29030,0,924
2021-03-07,AU,Australia,7,29037,0,924
2021-03-08,AU,Australia,9,29046,0,924
2021-03-09,AU,Australia,15,29061,0,924
2021-03-10,AU,Australia,14,29075,0,924
2021-03-11,AU,Australia,15,29090,0,924
2021-03-12,AU,Australia,12,29102,1,925
2021-03-13,AU,Australia,10,29112,0,925
2021-03-14,AU,Australia,5,29117,0,925
2021-03-15,AU,Australia,13,29130,0,925
2021-03-16,AU,Australia,7,29137,0,925
2021-03-17,AU,Australia,16,29153,0,925
2021-03-18,AU,Australia,13,29166,0,925
2021-03-19,AU,Australia,17,29183,0,925
2021-03-20,AU,Australia,9,29192,0,925
2021-03-21,AU,Australia,4,29196,0,925
2021-03-22,AU,Australia,10,29206,0,925
2021-03-23,AU,Australia,5,29211,0,925
2021-03-24,AU,Australia,9,29220,0,925
2021-03-25,AU,Australia,8,29228,0,925
2021-03-26,AU,Australia,12,29240,0,925
2021-03-27,AU,Australia,12,29252,0,925
2021-03-28,AU,Australia,8,29260,0,925
2021-03-29,AU,Australia,18,29278,1,926
2021-03-30,AU,Australia,18,29296,0,926
2021-03-31,AU,Australia,8,29304,0,926
2021-04-01,AU,Australia,18,29322,0,926
2021-04-02,AU,Australia,13,29335,0,926
2021-04-03,AU,Australia,6,29341,0,926
2021-04-04,AU,Australia,7,29348,0,926
2021-04-05,AU,Australia,9,29357,0,926
2021-04-06,AU,Australia,8,29365,0,926
2021-04-07,AU,Australia,14,29379,0,926
2021-04-08,AU,Australia,6,29385,0,926
2021-04-09,AU,Australia,5,29390,0,926
2021-04-10,AU,Australia,6,29396,0,926
2021-04-11,AU,Australia,9,29405,0,926
2021-04-12,AU,Australia,14,29419,0,926
2021-04-13,AU,Australia,18,29437,1,927
2021-04-14,AU,Australia,14,29451,0,927
2021-04-15,AU,Australia,18,29469,0,927
2021-04-16,AU,Australia,15,29484,0,927
2021-04-17,AU,Australia,21,29505,1,928
2021-04-18,AU,Australia,14,29519,0,928
2021-04-19,AU,Australia,24,29543,0,928
2021-04-20,AU,Australia,16,29559,0,928
2021-04-21,AU,Australia,19,29578,0,928
2021-04-22,AU,Australia,24,29602,0,928
2021-04-23,AU,Australia,37,29639,0,928
2021-04-24,AU,Australia,19,29658,0,928
2021-04-25,AU,Australia,8,29666,0,928
2021-04-26,AU,Australia,29,29695,0,928
2021-04-27,AU,Australia,30,29725,0,928
2021-04-28,AU,Australia,24,29749,0,928
2021-04-29,AU,Australia,30,29779,0,928
2021-04-30,AU,Australia,22,29801,0,928
2021-05-01,AU,Australia,11,29812,0,928
2021-05-02,AU,Australia,14,29826,0,928
2021-05-03,AU,Australia,15,29841,0,928
2021-05-04,AU,Australia,11,29852,0,928
2021-05-05,AU,Australia,13,29865,0,928
2021-05-06,AU,Australia,21,29886,0,928
2021-05-07,AU,Australia,11,29897,0,928
2021-05-08,AU,Australia,9,29906,0,928
2021-05-09,AU,Australia,17,29923,0,928
2021-05-10,AU,Australia,8,29931,0,928
2021-05-11,AU,Australia,8,29939,0,928
2021-05-12,AU,Australia,8,29947,0,928
2021-05-13,AU,Australia,8,29955,0,928
2021-05-14,AU,Australia,2,29957,0,928
2021-05-15,AU,Australia,10,29967,0,928
2021-05-16,AU,Australia,8,29975,0,928
2021-05-17,AU,Australia,3,29978,0,928
2021-05-18,AU,Australia,10,29988,0,928
2021-05-19,AU,Australia,3,29991,0,928
2021-05-20,AU,Australia,6,29997,0,928
2021-05-21,AU,Australia,3,30000,0,928
2021-05-22,AU,Australia,4,30004,0,928
2021-05-23,AU,Australia,7,30011,0,928
2021-05-24,AU,Australia,10,30021,0,928
2021-05-25,AU,Australia,9,30030,0,928
2021-05-26,AU,Australia,18,30048,0,928
2021-05-27,AU,Australia,15,30063,0,928
2021-05-28,AU,Australia,10,30073,0,928
